enst	hgnc	ensg	non_distal_n_exp	non_distal_n_obs	non_distal_z	non_distal_p	non_long_exon_n_exp	non_long_exon_n_obs	non_long_exon_z	non_long_exon_p	non_nmd_n_exp	non_nmd_n_obs	non_nmd_z	non_nmd_p	pli	loeuf	constrained_region
ENST00000642384	BCL11A	ENSG00000119866	21.0	0.0	-4.820051648729672	7.176052990822989e-07	0.0	0.0			3.45	0.0	-1.9444143533715752	0.0259227521842326			distal
ENST00000338222	UBQLN2	ENSG00000188021	18.17	0.0	-4.559458262815455	2.5642874012680297e-06	0.0	0.0			0.0	0.0			0.84968	0.448	distal
ENST00000367462	BRINP3	ENSG00000162670	14.43	0.0	-3.994260670282588	3.244821790321348e-05	0.0	0.0			11.38	2.0	-2.9128398324667453	0.0017907912716046	0.14554	0.45	distal
ENST00000309993	MSL2	ENSG00000174579	13.93	0.0	-3.871495890187599	5.408474073532232e-05	0.0	0.0			0.0	0.0			0.62406	0.481	distal
ENST00000372491	IER5L	ENSG00000188483	12.85	0.0	-3.854108330431763	5.807608077695049e-05	0.0	0.0			0.0	0.0			0.55377	0.718	distal
ENST00000322002	SOX11	ENSG00000176887	13.11	0.0	-3.842342211478341	6.093287946232103e-05	0.0	0.0			0.0	0.0			0.85844	0.44	distal
ENST00000682254	CHRM4	ENSG00000180720	12.59	0.0	-3.762360518912384	8.415859112782173e-05	0.0	0.0			0.0	0.0					distal
ENST00000333141	DCAF4L1	ENSG00000182308	12.38	0.0	-3.7287551480386023	9.621400549438756e-05	0.0	0.0			0.0	0.0			0.31806	1.124	distal
ENST00000340384	TUBB4B	ENSG00000188229	12.0	0.0	-3.673418751476493	0.0001196633991374	0.0	0.0			0.66	0.0	-0.8560618773452779	0.1959817770187777	0.80877	0.442	distal
ENST00000682386	HNRNPF	ENSG00000169813	12.18	0.0	-3.656647692372961	0.0001277676029116	0.0	0.0			0.0	0.0					distal
ENST00000644024	POU3F4	ENSG00000196767	11.09	0.0	-3.5334640589374087	0.0002050759260509	0.0	0.0			0.0	0.0					distal
ENST00000649030	NDN	ENSG00000182636	10.63	0.0	-3.479821392662966	0.0002508740790053	0.0	0.0			0.0	0.0					distal
ENST00000458143	ZNF746	ENSG00000181220	9.82	0.0	-3.317677953072565	0.0004538453725438	0.0	0.0			10.42	4.0	-2.133714274022564	0.0164330884522622	0.65205	0.416	distal
ENST00000234739	BCL9	ENSG00000116128	9.28	0.0	-3.240419162819228	0.0005967705413149	16.93	1.0	-4.10687288134908	2.005258987878936e-05	8.5	1.0	-2.699210860361	0.0034752061420375	0.49607	0.381	distal,long_exon
ENST00000393869	MAGEA12	ENSG00000213401	9.25	0.0	-3.206347186795789	0.0006721584252393	0.0	0.0			0.0	0.0					distal
ENST00000276344	MAGEA4	ENSG00000147381	9.03	0.0	-3.1511400586383203	0.0008131724083041	0.0	0.0			0.0	0.0					distal
ENST00000221996	CRX	ENSG00000105392	8.57	0.0	-3.0977708797727823	0.0009749105584097	0.0	0.0			0.83	0.0	-0.9538378310740528	0.1700828682563888	0.51043	0.6	distal
ENST00000405846	GPR12	ENSG00000132975	8.54	0.0	-3.0848368273136724	0.0010183192716079	0.0	0.0			0.0	0.0			0.36177	0.708	distal
ENST00000338352	OTUD6A	ENSG00000189401	8.47	0.0	-3.0707932992236517	0.0010674544500954	0.0	0.0			0.0	0.0			0.28466	1.895	distal
ENST00000394725	SIAH1	ENSG00000196470	7.72	0.0	-2.9230367402115123	0.0017331780610673	0.0	0.0			0.0	0.0			0.85136	0.446	distal
ENST00000377741	GPR20	ENSG00000204882	7.49	0.0	-2.92190321584831	0.0017394981510622	0.0	0.0			0.0	0.0			0.441	0.868	distal
ENST00000398548	PRDM15	ENSG00000141956	7.18	0.0	-2.8999157082446825	0.00186631511112	0.0	0.0			30.72	17.0	-2.5985139234268084	0.0046814123949473	0.40086	0.358	distal
ENST00000283891	TGIF2LX	ENSG00000153779	7.42	0.0	-2.868014245063521	0.0020652846766401	0.0	0.0			0.0	0.0					distal
ENST00000324344	DCUN1D3	ENSG00000188215	7.25	0.0	-2.847855251660302	0.0022007469408918	0.0	0.0			2.44	1.0	-0.9595718401364676	0.1686353736165187	0.8666	0.432	distal
ENST00000366609	IRF2BP2	ENSG00000168264	7.08	0.0	-2.7978939157657226	0.002571850176184	3.72	1.0	-1.4992089403213729	0.0669097182165122	3.12	0.0	-1.8753489582786231	0.03037236607635	0.84558	0.451	distal
ENST00000542735	DND1	ENSG00000256453	6.73	0.0	-2.766037867516136	0.0028370972719865	0.37	0.0	-0.6423150666449996	0.2603343167822383	3.31	0.0	-1.9424911429414435	0.0260388355693703	0.43615	0.55	distal
ENST00000547167	IKZF4	ENSG00000123411	6.94	0.0	-2.7642195955460087	0.0028529562502739	0.0	0.0			7.19	1.0	-2.4075715127784507	0.0080295083561259	0.89759	0.377	distal
ENST00000425432	ZNF821	ENSG00000102984	6.61	0.0	-2.7003304866656204	0.0034635313592027	0.0	0.0			4.97	1.0	-1.872791813360813	0.0305485694560504	0.0027859	0.684	distal
ENST00000312960	SIAH2	ENSG00000181788	6.5	0.0	-2.6885004830465014	0.0035886865920074	0.0	0.0			2.37	0.0	-1.6341271856372868	0.0511160738176049	0.68669	0.586	distal
ENST00000372488	DLK2	ENSG00000171462	6.52	0.0	-2.6804758560830644	0.0036758783855456	0.0	0.0			4.2	3.0	-0.6241151539245503	0.2662759812627582	0.77915	0.458	distal
ENST00000621592	MYC	ENSG00000136997	6.44	0.0	-2.653441000851252	0.0039837849029055	3.06	0.0	-1.885729839910232	0.0296656848172229	4.33	0.0	-2.211885149266587	0.0134873008147317			distal
ENST00000356607	PEX14	ENSG00000142655	6.31	0.0	-2.6508178282850854	0.0040148569232932	0.0	0.0			6.6	2.0	-1.909963853229691	0.0280689337847493	0.22566	0.518	distal
ENST00000439696	ZFP36L1	ENSG00000185650	6.31	0.0	-2.648204406856457	0.0040460290441457	0.0	0.0			0.0	0.0			0.67406	0.598	distal
ENST00000340139	INTS12	ENSG00000138785	6.42	0.0	-2.637750695645777	0.0041728956117841	0.0	0.0			6.99	1.0	-2.361531675480162	0.0090998085390723	0.7537	0.436	distal
