enst	csq	n_pos	n_obs	mu
ENST00000000233	missense	1172	71.0	5.427200511945393e-09
ENST00000000233	nonsense	60	1.0	3.841266666666667e-09
ENST00000000233	synonymous	379	53.0	7.16840105540897e-09
ENST00000000412	missense	1811	177.0	4.476942573163998e-09
ENST00000000412	nonsense	110	5.0	5.679745454545454e-09
ENST00000000412	synonymous	563	62.0	5.181142095914743e-09
ENST00000000442	missense	2669	258.0	6.414203821656052e-09
ENST00000000442	nonsense	128	6.0	5.2814765625e-09
ENST00000000442	synonymous	1001	148.0	7.3778291708291706e-09
ENST00000001008	missense	3030	308.0	4.76986402640264e-09
ENST00000001008	nonsense	195	11.0	4.305717948717949e-09
ENST00000001008	synonymous	897	141.0	6.270039018952063e-09
ENST00000001146	missense	3341	352.0	6.306624962586052e-09
ENST00000001146	nonsense	136	5.0	3.72739705882353e-09
ENST00000001146	synonymous	1122	209.0	9.042899286987522e-09
ENST00000002125	missense	2878	369.0	4.143538915913829e-09
ENST00000002125	nonsense	174	17.0	5.6769655172413795e-09
ENST00000002125	synonymous	908	142.0	5.0846057268722466e-09
ENST00000002165	missense	3065	285.0	4.071156280587276e-09
ENST00000002165	nonsense	211	26.0	4.754568720379147e-09
ENST00000002165	synonymous	918	122.0	5.595514161220044e-09
ENST00000002501	missense	1016	131.0	6.768277559055118e-09
ENST00000002501	nonsense	38	5.0	6.98571052631579e-09
ENST00000002501	synonymous	359	74.0	1.2015654596100279e-08
ENST00000002596	missense	2020	260.0	6.342941089108911e-09
ENST00000002596	nonsense	97	3.0	5.0537938144329895e-09
ENST00000002596	synonymous	637	130.0	1.058412715855573e-08
ENST00000002829	missense	5110	527.0	7.58193228962818e-09
ENST00000002829	nonsense	244	7.0	7.4312745901639345e-09
ENST00000002829	synonymous	1702	258.0	1.000389776733255e-08
ENST00000003084	missense	9721	1120.0	3.969733669375579e-09
ENST00000003084	nonsense	650	61.0	4.454087692307692e-09
ENST00000003084	synonymous	2940	368.0	5.048981972789116e-09
ENST00000003100	missense	3338	291.0	4.237588675853805e-09
