enst	hgnc	ensg	non_distal_n_exp	non_distal_n_obs	non_distal_z	non_distal_p	non_long_exon_n_exp	non_long_exon_n_obs	non_long_exon_z	non_long_exon_p	non_nmd_n_exp	non_nmd_n_obs	non_nmd_z	non_nmd_p	pli	loeuf	constrained_region
ENST00000675903	TRIP12	ENSG00000153827	2.25	0.0	-1.553643777356959	0.0601347054289107	4.95	0.0	-2.3183549261833623	0.0102150197883802	62.68	0.0	-8.271658262054856	6.605425716955972e-17			nmd
ENST00000651503	MECOM	ENSG00000085276	2.03	0.0	-1.4998002872808245	0.066833071454658	8.78	0.0	-3.089741744820297	0.0010016530168067	28.12	0.0	-5.530468425497247	1.5968839165363672e-08			nmd
ENST00000650932	UHRF1	ENSG00000276043	2.58	0.0	-1.729464906196762	0.0418629610765368	0.0	0.0			26.12	0.0	-5.41120166829636	3.130161049055488e-08			nmd
ENST00000644974	KSR1	ENSG00000141068	1.0	0.0	-1.0432984125601488	0.1484050530434042	0.84	0.0	-0.9596903520140808	0.168605540211632	25.39	0.0	-5.311130066694437	5.4473768366879166e-08			nmd
ENST00000531224	BCLAF1	ENSG00000029363	0.65	2.0	1.7183864385939036	0.9571369238592496	9.73	1.0	-2.908827334524711	0.0018139358291829	20.19	0.0	-4.667882598577169	1.5215984929044146e-06	2.0629e-14	0.929	nmd
ENST00000440978	EBF3	ENSG00000108001	0.82	1.0	0.2137930205742613	0.5846457660491126	0.0	0.0			16.85	0.0	-4.322150516367339	7.725785805000003e-06	0.022134	0.991	nmd
ENST00000647188	DYRK1A	ENSG00000157540	7.57	1.0	-2.555201510285647	0.0053063169674593	0.0	0.0			16.88	0.0	-4.298415084088852	8.601189082784286e-06			nmd
ENST00000341084	RNF19A	ENSG00000034677	6.76	7.0	0.0972145626319786	0.5387219982427089	0.97	1.0	0.0350062205386403	0.5139626096788222	15.63	0.0	-4.12269744127374	1.8723070291667835e-05	0.025305	0.473	nmd
ENST00000633077	CELF2	ENSG00000048740	1.93	0.0	-1.4660974362336403	0.0713108720447131	0.0	0.0			15.06	0.0	-4.119844498843293	1.8956409012388184e-05			nmd
ENST00000612899	TNFAIP3	ENSG00000118503	4.64	0.0	-2.273237863184644	0.0115059248678486	6.13	0.0	-2.598683142580368	0.0046791055080612	15.28	0.0	-4.098623198859586	2.078074994415395e-05			nmd
ENST00000371621	PTPN1	ENSG00000196396	0.69	0.0	-0.8855313216064844	0.1879350671184005	0.0	0.0			14.64	0.0	-4.023314901439423	2.8692343573859662e-05	0.81293	0.382	nmd
ENST00000392668	ETS1	ENSG00000134954	3.97	1.0	-1.569240507030973	0.0582959544652126	0.0	0.0			14.24	0.0	-3.980737301469476	3.435092072508646e-05	0.7816	0.389	nmd
