enst	hgnc	ensg	mis_n_pos	mis_prop_exp	mis_n_exp	mis_prop_obs	mis_n_obs	mis_oe	mis_oe_diff	mis_z	mis_p	non_n_pos	non_prop_exp	non_n_exp	non_prop_obs	non_n_obs	non_oe	non_oe_diff	non_z	non_p	syn_n_pos	syn_prop_exp	syn_n_exp	syn_prop_obs	syn_n_obs	syn_oe	syn_oe_diff	syn_z	syn_p
ENST00000520539	UBR5	ENSG00000104517	18143	0.0977589440892873	1773.64	0.0590861489279612	1072.0	0.6044067567262804	-0.3513877152502032	-17.539635721220556	3.5691750294760994e-69	1073	0.0849934810887325	91.2	0.0	0.0	0.0	-0.8036786573281749	-9.98344834986368	9.004833639330249e-24	5661	0.1145602447726464	648.53	0.1137608196431725	644.0	0.9930149723220206	0.0654358953658628	-0.1888547437944616	0.4251033322107483
ENST00000281928	MED13L	ENSG00000123066	14379	0.0991841507008889	1426.17	0.0660685722233813	950.0	0.6661197472952032	-0.284621816636025	-13.284877035771652	1.4166174201468807e-40	789	0.0974009156186071	76.85	0.0	0.0	0.0	-0.7875897285311809	-9.2272561537956	1.3882651650520618e-20	4443	0.1206239567425102	535.93	0.1242403781228899	552.0	1.0299852592689345	0.1093779396240891	0.7401386517172345	0.7703920661223267
ENST00000677622	TCF20	ENSG00000100207	12726	0.0990498164500626	1260.51	0.0992456388495992	1263.0	1.001975390913202	0.0543747147756983	0.0739487948767663	0.5294744352967428	751	0.0968848277673002	72.76	0.0	0.0	0.0	-0.7816406434091218	-8.975864442631947	1.4056769931152014e-19	3940	0.1205822915414565	475.09	0.1464467005076142	577.0	1.214506725041571	0.2988316215652274	4.985529608828816	0.9999996910384248
ENST00000675903	TRIP12	ENSG00000153827	13381	0.0965339678432594	1291.72	0.0633734399521709	848.0	0.656489022388753	-0.2916763907478531	-12.988820879654368	7.079583905123024e-39	865	0.0831185519684772	71.9	0.0	0.0	0.0	-0.7786662482443736	-8.855242225795013	4.1751139245043044e-19	4148	0.1159292624559071	480.87	0.1159594985535197	481.0	1.0002703433360367	0.0843083395495547	0.0060828214430623	0.5024266796929462
ENST00000356577	SON	ENSG00000159140	15468	0.1016218572007891	1571.89	0.0885699508663046	1370.0	0.8715622594456355	-0.0815815438641374	-5.37239427659553	3.884899303133607e-08	934	0.0767740909446565	71.71	0.0	0.0	0.0	-0.7776069026687387	-8.813061232834162	6.088699556389292e-19	5119	0.1131311376788318	579.12	0.1283453799570228	657.0	1.1344799005387485	0.2111796866030968	3.436545606050319	0.999705408424333
ENST00000375437	SCN2A	ENSG00000136531	13303	0.0960429258050247	1277.66	0.0490866721792076	653.0	0.5110905874802373	-0.4367761974844394	-18.380682804272013	9.379625009974076e-76	745	0.082520371583314	61.48	0.0	0.0	0.0	-0.7605650289828582	-8.185788300739636	1.352634624173005e-16	3799	0.1195095911943043	454.02	0.1184522242695446	450.0	0.9911457645037663	0.0774584001830709	-0.2009077420753391	0.4203853569228623
ENST00000418929	PRR12	ENSG00000126464	12447	0.1085077898491886	1350.6	0.1028360247449184	1280.0	0.9477269361765142	-0.0019178941383087	-2.034517106966487	0.0209497427878392	545	0.1010042674948562	55.05	0.0	0.0	0.0	-0.7495282251153367	-7.825089215910951	2.5364851260721736e-15	4599	0.1290952219450704	593.71	0.1667753859534681	767.0	1.2918765053645718	0.3669430868403843	7.62086149034783	0.9999999999999876
ENST00000314358	KDM3B	ENSG00000120733	11342	0.098821647806559	1120.84	0.0603068241932639	684.0	0.6102565932693338	-0.334168006465854	-13.744891430494093	2.7327491515452626e-43	575	0.0922510599829442	53.04	0.0	0.0	0.0	-0.7436039315872933	-7.644282522246822	1.0505680477629338e-14	3662	0.1205202883010355	441.35	0.1234298197706171	452.0	1.024130508666591	0.1116231953370524	0.5408031782448747	0.7056783740214875
ENST00000304623	CTNND2	ENSG00000169862	7660	0.102359008866362	784.07	0.0812010443864229	622.0	0.7932965168926244	-0.1403869203162482	-6.109053018078778	5.011201646063901e-10	435	0.1047013375802395	45.55	0.0	0.0	0.0	-0.7252034250393533	-7.132417806956795	4.931048531972674e-13	2489	0.1306527416155408	325.19	0.146645239051828	365.0	1.1224207386450995	0.2237589007258218	2.36740646876021	0.9910433764213404
ENST00000605057	ACIN1	ENSG00000100813	8085	0.0982830386525953	794.62	0.0843537414965986	682.0	0.8582718783821197	-0.0757038056165609	-4.207215990307232	1.29268007074488e-05	545	0.0844677291196508	46.03	0.0	0.0	0.0	-0.7235979503986333	-7.090989330096352	6.657830622595881e-13	2680	0.1203755733838693	322.61	0.117910447761194	316.0	0.9795108645113294	0.0818543373962301	-0.3921828768378322	0.3474615475473399
