hgnc	ensg	confidence	phenotype	panel	disease_group	moi
SLC30A10	ENSG00000196660	3	Hypermanganesemia with dystonia 1, OMIM:613280	Hereditary Erythrocytosis	Haematological disorders	BIALLELIC, autosomal or pseudoautosomal
BPGM	ENSG00000172331	3	Erythrocytosis, familial, 8, OMIM:222800	Hereditary Erythrocytosis	Haematological disorders	BOTH monoallelic and biallelic (but BIALLELIC mutations cause a more SEVERE disease form), autosomal or pseudoautosomal
PIEZO1	ENSG00000103335	2	Dehydrated hereditary stomatocytosis with or without pseudohyperkalemia and/or perinatal edema, OMIM:194380	Hereditary Erythrocytosis	Haematological disorders	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted
VHL	ENSG00000134086	3	Erythrocytosis, familial, 2, OMIM:263400	Hereditary Erythrocytosis	Haematological disorders	BIALLELIC, autosomal or pseudoautosomal
HBB	ENSG00000244734	3	Erythrocytosis 6, OMIM:617980	Hereditary Erythrocytosis	Haematological disorders	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted
HBA2	ENSG00000188536	3	Erythrocytosis 7, OMIM:617981	Hereditary Erythrocytosis	Haematological disorders	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted
EPAS1	ENSG00000116016	3	Erythrocytosis, familial, 4, OMIM:611783	Hereditary Erythrocytosis	Haematological disorders	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
EGLN1	ENSG00000135766	3	Erythrocytosis, familial, 3, OMIM:609820	Hereditary Erythrocytosis	Haematological disorders	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted
SH2B3	ENSG00000111252	2	Erythrocytosis, somatic, OMIM:133100	Hereditary Erythrocytosis	Haematological disorders	Other
JAK2	ENSG00000096968	2	Erythrocytosis, somatic, OMIM:133100	Hereditary Erythrocytosis	Haematological disorders	Other
EPO	ENSG00000130427	3	Erythrocytosis, familial, 5, OMIM:617907	Hereditary Erythrocytosis	Haematological disorders	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
EPOR	ENSG00000187266	3	[Erythrocytosis, familial, 1], OMIM:133100	Hereditary Erythrocytosis	Haematological disorders	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
HBA1	ENSG00000206172	3	Erythrocytosis 7, OMIM:617981	Hereditary Erythrocytosis	Haematological disorders	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted
TTR	ENSG00000118271	3	[Dystransthyretinemic hyperthyroxinemia], 145680	Hyperthyroidism	Endocrine disorders	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
